cycle,state,Candidateidentifier,raceid,Percentage.of.Vote.won.x,year,Republican,Democrat,experienced,pvi,Weightedexperience,Incumbent,GenericBallotSept,Percentage Raised
2018,Indiana,2018INBraun,20181400,,2018,1,0,1,-8.112056678,3,-1,55.1,22.46932654
2018,Connecticut,2018CTCorey,20180700,,2018,1,0,0,4.933092737,1,-1,55.1,0.262612603
2018,New Mexico,2018NMRich,20183100,,2018,1,0,0,2.403798731,1,-1,55.1,13.48734236
2018,New Mexico,2018NMJohnson,20183100,,2018,1,0,1,2.403798731,4,-1,55.1,0
2018,Maine,2018MEBrakey,20181900,,2018,1,0,1,1.414830868,2,-1,55.1,12.33781498
2018,West Virginia,2018WVMorrisey,20184800,,2018,1,0,1,-13.38955503,3,-1,55.1,33.27885992
2018,Montana,2018MTRosendale,20182600,,2018,1,0,1,-8.652566712,3,-1,55.1,15.80866044
2018,Hawaii,2018HICurtis,20181100,,2018,1,0,0,15.81999475,1,-1,55.1,0
2018,Rhode Island,2018RIFlanders,20183900,,2018,1,0,0,8.381222974,1,-1,55.1,17.00726176
2018,Delaware,2018DEArlett,20180800,,2018,1,0,1,5.995207379,2,-1,55.1,6.514456094
2018,North Dakota,2018NDCramer,20183400,,2018,1,0,1,-15.10961444,3,-1,55.1,24.07689073
2018,Vermont,2018VTZupan,20184500,,2018,1,0,0,11.29981845,1,-1,55.1,0.074374442
